id,name,manufacturer,manufacturer_type,active_ingredient,cost,medicine_type,quantity
180594,Paradana 250mg Tablet,Dana Pharmaceuticals Pvt Ltd,Branded,Paracetamol (250mg),8.3,tablet,10
35456,Calpol 250mg Tablet,Glaxo SmithKline Pharmaceuticals Ltd,Branded,Paracetamol (250mg),13.07,tablet,15
137682,Medimol 250mg Tablet,Synchem Lab,Branded,Paracetamol (250mg),9.5,tablet,10
174019,P 250 Tablet DT,Apex Laboratories Pvt Ltd,Branded,Paracetamol (250mg),14.5,tablet,10
138102,Medimol Kid 250mg Tablet,Synchem Lab,Branded,Paracetamol (250mg),15.1,tablet,10
11878,Arden 250mg Tablet,Adonis Laboratories Pvt Ltd,Branded,Paracetamol (250mg),24.89,tablet,15
196117,Raypam 250mg Tablet,Rayrise Healthcare,Branded,Paracetamol (250mg),19.0,tablet,10
3783,Arden 250mg Tablet,Adonis Laboratories Pvt Ltd,Branded,Paracetamol (250mg),20.57,tablet,10
2975,Admol 250 DT Tablet,Kepler Health Care,Branded,Paracetamol (250mg),25.0,tablet,10
80125,Ezeepara 250mg Tablet,Abbott,Branded,Paracetamol (250mg),21.0,tablet,6
4225,ANAMOL 250 MG SUPPOSITORY,Elder Pharmaceuticals Ltd,Branded,Paracetamol (250mg),41.0,suppository,5
114543,Junimol RDS 250mg Suppository,Elder Pharmaceuticals Ltd,Branded,Paracetamol (250mg),44.1,suppository,5
186284,Rectol 250 Suppository,Bliss Gvs Pharma Limited,Branded,Paracetamol (250mg),52.0,suppository,5
140840,Metacin 250mg Suppository,Themis Pharmaceuticals Prop Chemosyn Ltd,Branded,Paracetamol (250mg),59.9,suppository,5
150922,Neomol 250 Anal Suppository,Neon Laboratories Ltd,Branded,Paracetamol (250mg),90.0,suppository,5
200777,Suppol 250mg Suppository,Meridian Enterprises Pvt Ltd,Branded,Paracetamol (250mg),96.0,suppository,5
192516,Rakbi 250mg Suspension,Cubit Healthcare,Branded,Paracetamol (250mg),21.0,suspension,60
230096,Teplow 250mg Suspension,Ciron Drugs & Pharmaceuticals Pvt Ltd,Branded,Paracetamol (250mg),21.0,suspension,60
16745,Alcocin Suspension,Alicon Pharmaceutical Pvt Ltd,Branded,Paracetamol (250mg),23.0,suspension,60
24717,Apyric 250mg Oral Suspension,Patson Laboratories Pvt  Ltd,Branded,Paracetamol (250mg),23.0,suspension,60
182342,Pricol DS 250mg Suspension,Indian Pharmaceuticals,Branded,Paracetamol (250mg),23.9,suspension,60
226500,Tempros Suspension,Osho Pharma Pvt Ltd,Branded,Paracetamol (250mg),24.0,suspension,60
60851,DR Best Paracetamol 250 Oral Suspension,DR Best pharmaceuticals Pvt Ltd,Generic,Paracetamol (250mg),25.0,suspension,60
147478,Mormol 250mg Suspension,Moreish Pharmaceuticals Pvt Ltd,Branded,Paracetamol (250mg),27.0,suspension,60
193499,Raxflame 250mg Oral Suspension,Rax Health Care Pvt Ltd,Branded,Paracetamol (250mg),27.0,suspension,60
216659,Temp 250mg Syrup,Normak Laboratories,Branded,Paracetamol (250mg),27.0,syrup,60
229053,Ticpar 250mg Oral Suspension,Asiatic Pharmaceuticals,Branded,Paracetamol (250mg),27.0,suspension,60
20825,Antimol 250 Oral Suspension,Giriraj Healthcare,Branded,Paracetamol (250mg),27.75,suspension,60
16716,Anapara 250mg Syrup,Anabolic Remedies Pvt Ltd,Branded,Paracetamol (250mg),27.8,syrup,60
114630,Jetmol Suspension,Aster Pharma,Branded,Paracetamol (250mg),27.8,suspension,60
92414,Famol Suspension,Suzikem Drugs Pvt Ltd,Branded,Paracetamol (250mg),28.0,suspension,60
252271,Zenimol Forte 250mg Oral Suspension,Zencus Pharma,Branded,Paracetamol (250mg),28.0,suspension,60
5434,A 250 Suspension,Adventure Life Sciences Pvt Ltd,Branded,Paracetamol (250mg),28.5,suspension,60
145699,Mam 250mg Oral Suspension,Midas Biotek Pvt Ltd,Branded,Paracetamol (250mg),28.5,suspension,60
179289,Pyrinil Forte 250mg Syrup,Akpash Pharmaceuticals Pvt Ltd,Branded,Paracetamol (250mg),29.0,syrup,60
227311,Tifmol Oral Suspension,Positif Life sciences,Branded,Paracetamol (250mg),29.0,suspension,60
91179,Fevedot 250mg Oral Suspension,Invision Medi Sciences Pvt Ltd,Branded,Paracetamol (250mg),30.0,suspension,60
92644,FEE Suspension,Safetech Formulation,Branded,Paracetamol (250mg),30.0,suspension,60
127805,Leximol Syrup,Lexicon Biotech India Ltd,Branded,Paracetamol (250mg),30.0,syrup,60
186860,Relief P Syrup,Relief Formulations Pvt Ltd,Branded,Paracetamol (250mg),30.0,syrup,60
194436,Relief P Syrup,Maa Formulations Pvt Ltd,Branded,Paracetamol (250mg),30.0,syrup,60
124700,Lanol 250mg Oral Suspension,Hetero Drugs Ltd,Branded,Paracetamol (250mg),30.47,suspension,60
92829,Febreno 250mg Suspension,Pentamark Organics,Branded,Paracetamol (250mg),31.0,suspension,60
107369,Hosnim 250mg Oral Suspension,Silhos Pharma Ltd,Branded,Paracetamol (250mg),31.0,suspension,60
165936,Ormol 250mg Oral Suspension,Orphic Pharma (India) Ltd,Branded,Paracetamol (250mg),31.0,suspension,60
182572,Paramone 250mg Oral Suspension,Amon Biotech,Branded,Paracetamol (250mg),31.0,suspension,60
89844,Fevridol 250mg Syrup,Zuventus Healthcare Ltd,Branded,Paracetamol (250mg),32.0,syrup,60
125549,Lanoler 250mg Suspension,Sidmak Laboratories India Pvt Ltd,Branded,Paracetamol (250mg),32.0,suspension,60
64291,Day Syrup,Marquess Genetica Pharmaceuticals Pvt Ltd,Branded,Paracetamol (250mg),32.3,syrup,60
91904,Famol 250mg Syrup,Unisharp Pharmaceuticals,Branded,Paracetamol (250mg),32.75,syrup,60
178985,Pyro 250mg Oral Suspension,Foi Pharmaceuticals Pvt Ltd,Branded,Paracetamol (250mg),32.75,suspension,60
251982,Zeemol 250mg Suspension,CE-Biotec Pvt Ltd,Branded,Paracetamol (250mg),32.9,suspension,60
13157,Abmol 250mg Suspension,Absolute Medicare Solutions Pvt Ltd,Branded,Paracetamol (250mg),34.0,suspension,60
113045,Ibibull 250mg Suspension,Indiabulls pharmaceutical ltd,Branded,Paracetamol (250mg),34.0,suspension,60
117327,Kyomol Suspension,Lifekyor Pharmaceuticals,Branded,Paracetamol (250mg),34.0,suspension,60
150239,Molofast 250mg Oral Suspension,Starsure Remedies,Branded,Paracetamol (250mg),34.0,suspension,60
191304,R-Mol Oral Suspension,Matish Healthcare,Branded,Paracetamol (250mg),34.0,suspension,60
223883,Tylen 250mg Oral Suspension,Totem Biotech Pvt Ltd,Branded,Paracetamol (250mg),34.0,suspension,60
18575,Arismol-DS Oral Suspension,Ariskem Pharmaceuticals Private Limited,Branded,Paracetamol (250mg),34.96,suspension,60
10401,Akmol 250 Oral Suspension,Akiez Healthcare,Branded,Paracetamol (250mg),35.0,suspension,60
